operator,offer_id,offer_name,category,data_gb,minutes,sms,validity_days,speed_cap_mbps,roaming,ussd_code,auto_renewal,source_page,price_per_gb,price_per_minute,price_per_sms,price_bdt
Banglalink,TK1197USSD1200MIN365D,Minute Pack @Tk.1197,Minute,0.0,1200.0,0.0,365.0,0.0,No,*121*1197#,Unknown,offers/prepaid/voice,0,1.0,0,1197.0
Banglalink,TK493USSDMA2Y,Main Account Validity,Minute,0.0,0.0,0.0,730.0,0.0,No,*121*493#,Unknown,offers/prepaid/voice,0,0,0,493.0
Banglalink,TK693USSDMA3Y,Main Account Validity,Minute,0.0,0.0,0.0,1095.0,0.0,No,*121*693#,Unknown,offers/prepaid/voice,0,0,0,693.0
Banglalink,TK649USSDBLC260015R,Banglalink Prepaid 30GB+400Min Tk. 649!,Combo,30.0,400.0,0.0,30.0,0.0,No,*121*649#,Unknown,offers/prepaid/bundles,21.63,1.62,0,649.0
Banglalink,TK749USSDBLC,Banglalink Prepaid 40GB+800Min (20 GB Extra On Repurchase) only Tk. 749!,Combo,40.0,800.0,0.0,30.0,0.0,No,*121*749#,Unknown,offers/prepaid/bundles,18.73,0.94,0,749.0
Banglalink,TK549USSDBLC,Banglalink Prepaid 15GB + 400Min Tk. 549!,Combo,15.0,400.0,0.0,30.0,0.0,No,*121*549#,Unknown,offers/prepaid/bundles,36.6,1.37,0,549.0
Banglalink,TK998USSDBLC230015D,Banglalink Prepaid 50 GB+1500 Min only Tk. 998!,Combo,50.0,1500.0,0.0,30.0,0.0,No,*121*998#,Unknown,offers/prepaid/bundles,19.96,0.67,0,998.0
Banglalink,TK399MXBUSSD,Banglalink Prepaid 5GB+150Min only Tk. 399!,Combo,5.0,150.0,0.0,30.0,0.0,No,*121*399#,Unknown,offers/prepaid/bundles,79.8,2.66,0,399.0
Banglalink,TK499USSDBLC250002D,Banglalink Prepaid 10GB + 200min Tk. 499!,Combo,10.0,200.0,0.0,30.0,0.0,No,*121*499#,Unknown,offers/prepaid/bundles,49.9,2.5,0,499.0
Banglalink,TK1199USSDMXB30D,Banglalink Prepaid 150GB+1800M Tk. 1199!,Combo,150.0,1800.0,0.0,30.0,0.0,No,*121*1199#,Unknown,offers/prepaid/bundles,7.99,0.67,0,1199.0
Banglalink,TK1497USSDBLC250002D,Banglalink Prepaid 59GB+600Min only Tk. 1497!,Combo,59.0,600.0,0.0,90.0,0.0,No,*121*1497#,Unknown,offers/prepaid/bundles,25.37,2.5,0,1497.0
Banglalink,TK1797USSDBLC250002D,Banglalink Prepaid 78GB+900Min only Tk. 1797!,Combo,78.0,900.0,0.0,90.0,0.0,No,*121*1797#,Unknown,offers/prepaid/bundles,23.04,2.0,0,1797.0
Banglalink,TK2097USSDBLC250002D,Banglalink Prepaid 98GB+1500Min only Tk. 2097!,Combo,98.0,1500.0,0.0,90.0,0.0,No,*121*2097#,Unknown,offers/prepaid/bundles,21.4,1.4,0,2097.0
Banglalink,TK2997USSDMXB30D,Banglalink 60 GB+ 1200 minute only Tk.2997!,Combo,60.0,1200.0,0.0,365.0,0.0,No,*121*2997#,Unknown,offers/prepaid/bundles,49.95,2.5,0,2997.0
Banglalink,TK86USSD30DSMSSUB,"Banglalink Prepaid Hoichoi, Bongo Subscription + 130 SMS at only Tk. 96!",Combo,0.0,0.0,130.0,30.0,0.0,No,*121*1086#,Unknown,offers/prepaid/bundles,0,0,0.74,96.0
Banglalink,TK66USSD30DSMSSUB,"Banglalink Prepaid DeeptoPlay, iScreen Subscription + 100 SMS at only Tk. 66!",Combo,0.0,0.0,100.0,30.0,0.0,No,*121*1040#,Unknown,offers/prepaid/bundles,0,0,0.66,66.0
Banglalink,TK33USSD7DSMSSUB,"Banglalink Prepaid DeeptoPlay, iScreen Subscription + 50 SMS at only Tk. 33!",Combo,0.0,0.0,50.0,7.0,0.0,No,*121*1033#,Unknown,offers/prepaid/bundles,0,0,0.66,33.0
Banglalink,TK156USSD30DSMSSUB,"Banglalink Prepaid Hoichoi, Bongo, DeeptoPlay, iScreen Subscription + 150 SMS at only Tk. 156!",Combo,0.0,0.0,150.0,30.0,0.0,No,*121*1156#,Unknown,offers/prepaid/bundles,0,0,1.04,156.0
Banglalink,TK60SMSBUNDLE3,Banglalink 500 SMS Bundle only at Tk. 160!,Combo,0.0,0.0,500.0,30.0,0.0,No,*121*2*8#,Unknown,offers/prepaid/bundles,0,0,0.32,160.0
Banglalink,TK20SMSBUNDLE1,Banglalink 120 SMS Bundle only at Tk. 45!,Combo,0.0,0.0,120.0,7.0,0.0,No,*121*2*8#,Unknown,offers/prepaid/bundles,0,0,0.38,45.0
Banglalink,TK10SMSBUNDLE,Banglalink 60 SMS Bundle only at Tk. 30!,Combo,0.0,0.0,60.0,3.0,0.0,No,*121*2*8#,Unknown,offers/prepaid/bundles,0,0,0.5,30.0
Banglalink,TK48PP89P3DREG10SEC,89 paisa/minute with Tk. 48recharge,Call Rate,0.0,0.0,0.0,3.0,0.0,No,Unknown,Unknown,offers/prepaid/call-rate,0,0.89,0,48.0
Banglalink,TK188PP1P30D1SEC,1 paisa/sec with Tk. 188 recharge,Call Rate,0.0,0.0,0.0,30.0,0.0,No,Unknown,Unknown,offers/prepaid/call-rate,0,0.6,0,188.0
Banglalink,TK309PP1P90D1SEC,1 paisa/sec with Tk. 309 recharge,Call Rate,0.0,0.0,0.0,60.0,0.0,No,Unknown,Unknown,offers/prepaid/call-rate,0,0.6,0,309.0
Banglalink,TK159PP89P30D10SEC,89 paisa/Min with Tk. 159 recharge,Call Rate,0.0,0.0,0.0,30.0,0.0,No,Unknown,Unknown,offers/prepaid/call-rate,0,0.89,0,159.0
Banglalink,NEWSIMOFFER2,Banglalink New Prepaid SIM offer,New SIM,4.0,40.0,0.0,30.0,0.0,No,Unknown,Unknown,offers/prepaid/new-sim-offer,42.5,4.25,0,170.0
Banglalink,NEWSIMOFFER1,Banglalink New Prepaid SIM offer,New SIM,40.0,300.0,0.0,30.0,0.0,No,Unknown,Unknown,offers/prepaid/new-sim-offer,10.0,1.33,0,400.0
Banglalink,TK99USSDREACT4GB7D,Banglalink Special Reactivation Pack 6 GB Internet at only Tk. 99!,Bondho SIM,6.0,0.0,0.0,7.0,0.0,No,*121*200#,Unknown,offers/prepaid/bondho-sim,16.5,0,0,99.0
