operator,offer_id,offer_name,category,data_gb,minutes,sms,validity_days,speed_cap_mbps,roaming,ussd_code,auto_renewal,source_page,price_per_gb,price_per_minute,price_per_sms,price_bdt
Grameenphone,GP-OFF-028,45 Days Hajj Combo Max Pack,Roaming,40.0,150.0,0.0,45.0,1.0,Yes,Unknown,Unknown,stay-connected-during-hajj,149.97,39.99,0,5999.0
Grameenphone,GP-OFF-029,45 Days Hajj Voice Pack,Roaming,0.0,100.0,0.0,45.0,0.0,Yes,Unknown,Unknown,stay-connected-during-hajj,0,16.99,0,1699.0
Grameenphone,GP-OFF-030,15 Days Hajj Combo,Roaming,6.0,10.0,0.0,15.0,0.0,Yes,Unknown,Unknown,stay-connected-during-hajj,166.5,99.9,0,999.0
Grameenphone,GP-OFF-031,15 Days Hajj Combo Max,Roaming,10.0,50.0,0.0,15.0,1.0,Yes,Unknown,Unknown,stay-connected-during-hajj,199.9,39.98,0,1999.0
Grameenphone,GP-OFF-032,15 Days Hajj Voice,Roaming,0.0,65.0,0.0,15.0,0.0,Yes,Unknown,Unknown,stay-connected-during-hajj,0,15.37,0,999.0
Grameenphone,GP-OFF-033,7 Days Internet Roaming Pack @ 1499 TK,Roaming,5.25,0.0,0.0,7.0,0.0,Yes,*66*2*3#,Unknown,bonus-roaming-packs,380.57,0,0,1998.0
Grameenphone,GP-OFF-034,15 Days Internet Roaming Pack @ 2199 TK,Roaming,8.25,0.0,0.0,15.0,0.0,Yes,*66*2*4#,Unknown,bonus-roaming-packs,355.27,0,0,2931.0
Grameenphone,GP-OFF-035,30 Days Internet Roaming Pack @ 2999 TK,Roaming,11.25,0.0,0.0,30.0,0.0,Yes,*66*2*5#,Unknown,bonus-roaming-packs,355.29,0,0,3997.0
Grameenphone,GP-OFF-036,"Probashi Pack (Unlimited Incoming SMS, 3 GB local bonus)",Roaming,3.0,0.0,0.0,1095.0,0.0,Yes,Unknown,Unknown,probashi-roaming-prepaid,331.33,0,0,994.0
Grameenphone,GP-OFF-037,"Probashi Pack (Unlimited Incoming SMS, 5 GB local bonus)",Roaming,5.0,0.0,0.0,1825.0,0.0,Yes,Unknown,Unknown,probashi-roaming-prepaid,298.8,0,0,1494.0
Grameenphone,GP-OFF-038,Play Pack Super + 500 SMS,Entertainment,0.0,0.0,500.0,30.0,0.0,No,Unknown,Unknown,play-packs,0,0,0.35,173.0
Grameenphone,GP-OFF-039,Play Pack Sports + 335 SMS,Entertainment,0.0,0.0,335.0,30.0,0.0,No,Unknown,Unknown,play-packs,0,0,0.33,111.0
Grameenphone,GP-OFF-040,3 Years Account Validity + 600 Minutes,Validity,0.0,600.0,0.0,30.0,0.0,No,Unknown,Unknown,account-validity-extender,0,1.66,0,997.0
Grameenphone,GP-OFF-041,5 Years Account Validity + 900 Minutes,Validity,0.0,900.0,0.0,30.0,0.0,No,Unknown,Unknown,account-validity-extender,0,1.66,0,1498.0
Grameenphone,GP-OFF-042,Main account validity extension (3 years),Validity,0.0,0.0,0.0,1095.0,0.0,No,Unknown,Unknown,validity-pack,0,0,0,695.0
Grameenphone,GP-OFF-043,Main account validity extension (5 years),Validity,0.0,0.0,0.0,1825.0,0.0,No,Unknown,Unknown,validity-pack,0,0,0,995.0
Grameenphone,GP-OFF-044,Shukhee 130 sms,SMS,0.0,0.0,130.0,5.0,0.0,No,Unknown,Unknown,shukhee-packs-offer,0,0,0.33,43.0
Grameenphone,GP-OFF-045,Shukhee 330 sms,SMS,0.0,0.0,330.0,7.0,0.0,No,Unknown,Unknown,shukhee-packs-offer,0,0,0.34,112.0
Grameenphone,GP-OFF-046,Shukhee 420 sms,SMS,0.0,0.0,420.0,15.0,0.0,No,Unknown,Unknown,shukhee-packs-offer,0,0,0.34,143.0
Grameenphone,GP-OFF-047,Shukhee 120 minutes,Minute,0.0,120.0,0.0,30.0,0.0,No,Unknown,Unknown,shukhee-packs-offer,0,1.48,0,177.0
Grameenphone,GP-OFF-048,Number One call rate recharge 34 TK,Call Rate,0.0,0.0,0.0,2.0,0.0,No,Unknown,Unknown,number-one-call-rate-offer,0,0.6,0,34.0
Grameenphone,GP-OFF-049,Number One call rate recharge 64 TK,Call Rate,0.0,0.0,0.0,3.0,0.0,No,Unknown,Unknown,number-one-call-rate-offer,0,0.6,0,64.0
Grameenphone,GP-OFF-050,Number One call rate recharge 94 TK,Call Rate,0.0,0.0,0.0,7.0,0.0,No,Unknown,Unknown,number-one-call-rate-offer,0,0.6,0,94.0
Grameenphone,GP-OFF-051,Number One call rate recharge 208 TK,Call Rate,0.0,0.0,0.0,30.0,0.0,No,Unknown,Unknown,number-one-call-rate-offer,0,0.6,0,208.0
Grameenphone,GP-OFF-052,Number One call rate recharge 309 TK,Call Rate,0.0,0.0,0.0,60.0,0.0,No,Unknown,Unknown,number-one-call-rate-offer,0,0.6,0,309.0
Grameenphone,GP-OFF-053,Number One call rate recharge 509 TK,Call Rate,0.0,0.0,0.0,90.0,0.0,No,Unknown,Unknown,number-one-call-rate-offer,0,0.6,0,509.0
Grameenphone,GP-OFF-054,Number One call rate recharge 989 TK,Call Rate,0.0,0.0,0.0,365.0,0.0,No,Unknown,Unknown,number-one-call-rate-offer,0,0.6,0,989.0
