operator,offer_id,offer_name,category,data_gb,minutes,sms,validity_days,ussd_code,source_page,price_per_gb,price_per_minute,price_per_sms,price_bdt
Grameenphone,GPD250038R,4.5 GB,Data,4.5,0.0,0.0,30.0,*121*3648#,internet-packages,177.33,0,0,798.0
Grameenphone,GPD250044R,5 GB,Data,5.0,0.0,0.0,30.0,*121*3898#,internet-packages,179.6,0,0,898.0
Grameenphone,GPD250025U,Uninterrupted Monthly Data Package ( upto 10Mbps speed),Unlimited,0.0,0.0,0.0,30.0,*121*3888#,internet-packages,0,0,0,806.0
Grameenphone,GPD250026U,Uninterrupted Monthly Data Package ( upto 15Mbps speed),Unlimited,0.0,0.0,0.0,30.0,*121*3999#,internet-packages,0,0,0,899.0
Grameenphone,GPD250276R,5 GB,Data,5.0,0.0,0.0,90.0,*121*0988#,internet-packages,197.6,0,0,988.0
Grameenphone,GPD250045R,50 GB,Data,50.0,0.0,0.0,365.0,*121*3988#,internet-packages,39.76,0,0,1988.0
Grameenphone,GPD250031R,1.2 GB,Data,1.2,0.0,0.0,3.0,*121*3908#,internet-packages,90.0,0,0,108.0
Grameenphone,GPC250066R,0.6 GB + 23 Minutes,Combo,0.6,23.0,0.0,30.0,*121*498#,internet-packages,830.0,21.65,0,498.0
Grameenphone,GPD250009U,25 GB,Data,25.0,0.0,0.0,730,*121*3017#,internet-packages,41.96,0,0,1049.0
Grameenphone,GPD250010U,50 GB,Data,50.0,0.0,0.0,730,*121*3318#,internet-packages,32.98,0,0,1649.0
Grameenphone,GPD250011U,75 GB,Data,75.0,0.0,0.0,730,*121*3319#,internet-packages,28.65,0,0,2149.0
Grameenphone,GPD250046C,0.10 GB,Data,0.1,0.0,0.0,2.0,*121*1136#,internet-packages,380.0,0,0,38.0
Grameenphone,GPC250039R,2GB+80Minutes+100SMS,Combo,2.0,80.0,100.0,7.0,*121*217#,internet-packages,108.5,2.71,2.17,217.0
Grameenphone,GPC250040R,3GB+100Minutes+100SMS,Combo,3.0,100.0,100.0,7.0,*121*258#,internet-packages,86.0,2.58,2.58,258.0
Grameenphone,GPC250069R,0.8GB+30Minutes,Combo,0.8,30.0,0.0,30.0,*121*598#,internet-packages,747.5,19.93,0,598.0
Grameenphone,GPC250121R,2GB + 55 Minute,Combo,2.0,55.0,0.0,30.0,*121*699#,internet-packages,349.5,12.71,0,699.0
Grameenphone,GPC250050R,1.5GB+60Minutes,Combo,1.5,60.0,0.0,30.0,*121*818#,internet-packages,545.33,13.63,0,818.0
Grameenphone,GPC250051R,2GB+80Minutes+100SMS,Combo,2.0,80.0,100.0,30.0,*121*999#,internet-packages,499.5,12.49,9.99,999.0
Grameenphone,GPC250052R,2.5GB+90Minutes,Combo,2.5,90.0,0.0,30.0,*121*1099#,internet-packages,439.6,12.21,0,1099.0
Grameenphone,GPC250053R,3GB+100Minutes+100SMS,Combo,3.0,100.0,100.0,30.0,*121*1199#,internet-packages,399.67,11.99,11.99,1199.0
Grameenphone,GPC250124R,4GB + 200Minutes,Combo,4.0,200.0,0.0,30.0,*121*1493#,internet-packages,373.25,7.46,0,1493.0
Grameenphone,GPC250120R,3GB + 150 Minutes,Combo,3.0,150.0,0.0,90.0,*121*3997#,internet-packages,499.0,9.98,0,1497.0
Grameenphone,GPC250054R,2GB + 60 Minutes,Combo,2.0,60.0,0.0,365.0,*121*2997#,internet-packages,1498.5,49.95,0,2997.0
Grameenphone,GPD250147R,0.2 GB Streaming/Content,Data,0.2,0.0,0.0,3.0,*121*1043#,internet-packages,230.0,0,0,46.0
Grameenphone,GPD250149R,0.51 GB Streaming/Content,Data,0.51,0.0,0.0,30.0,*121*1044#,internet-packages,325.49,0,0,166.0
Grameenphone,GPD250162R,0.4 GB Internet + 0.3 GB Streaming/Content,Data,0.7,0.0,0.0,7.0,*121*1184#,internet-packages,265.71,0,0,186.0
Grameenphone,GPD250168R,0.83 GB Internet + 0.71 GB Streaming/Content,Data,1.54,0.0,0.0,30.0,*121*1185#,internet-packages,250.65,0,0,386.0
Grameenphone,GPD250199R,0.512 GB Streaming/Content,Data,0.512,0.0,0.0,30.0,*121*1183#,internet-packages,304.69,0,0,156.0
Grameenphone,GPD250153R,0.41 GB Streaming/Content,Data,0.41,0.0,0.0,30.0,*121*1045#,internet-packages,648.78,0,0,266.0
Grameenphone,GPD250155R,0.61 GB Streaming/Content,Data,0.61,0.0,0.0,30.0,*121*1046#,internet-packages,600.0,0,0,366.0
Grameenphone,GPD250201R,1.12 GB Streaming/Content,Data,1.12,0.0,0.0,30.0,*121*1048#,internet-packages,416.07,0,0,466.0
Grameenphone,GPD250164R,0.6 GB Internet + 0.5 GB Streaming/Content,Data,1.1,0.0,0.0,7.0,*121*1047#,internet-packages,223.64,0,0,246.0
Grameenphone,GPD250165R,0.63 GB Streaming/Content,Data,0.63,0.0,0.0,30.0,*121*1191#,internet-packages,453.97,0,0,286.0
Grameenphone,GPD250246R,0.48 GB Streaming/Content,Data,0.48,0.0,0.0,30.0,*121*117#,internet-packages,275.0,0,0,132.0
Grameenphone,GPD250241R,0.15 GB Internet,Data,0.15,0.0,0.0,30.0,*121*1072#,internet-packages,513.33,0,0,77.0
Grameenphone,GPD250249R,0.08 GB Internet,Data,0.08,0.0,0.0,15.0,*121*1333#,internet-packages,412.5,0,0,33.0
Grameenphone,GPC250049R,1 GB + 50 Minutes,Combo,1.0,50.0,0.0,30.0,*121*799#,internet-packages,799.0,15.98,0,799.0
Grameenphone,GPD260006R,2GB Internet,Data,2.0,0.0,0.0,7.0,*121*1130#,internet-packages,133.5,0,0,267.0
Grameenphone,GPD260027R,300 MB Internet,Data,0.293,0.0,0.0,3.0,*121*1182#,internet-packages,194.54,0,0,57.0
Grameenphone,GP-OFF-008,75 Minutes,Minute,0.0,75.0,0.0,2.0,*121*4405#,bonus-minute-offer,0,0.65,0,49.0
Grameenphone,GP-OFF-009,200 Minutes,Minute,0.0,200.0,0.0,7.0,*121*0139#,bonus-minute-offer,0,0.69,0,139.0
Grameenphone,GP-OFF-010,250 Minutes,Minute,0.0,250.0,0.0,30.0,*121*218#,bonus-minute-offer,0,0.91,0,228.0
Grameenphone,GP-OFF-011,330 Minutes,Minute,0.0,330.0,0.0,30.0,*121*268#,bonus-minute-offer,0,0.81,0,268.0
Grameenphone,GP-OFF-012,500 Minutes,Minute,0.0,500.0,0.0,30.0,*121*339#,bonus-minute-offer,0,0.68,0,339.0
Grameenphone,GP-OFF-013,820mins + 1TK/MIN + 500SMS,Combo,0.0,820.0,500.0,30.0,*121*519#,all-one-minute-pack,0,0.63,1.04,519.0
Grameenphone,GP-OFF-014,1020mins + 1TK/MIN + 2000SMS,Combo,0.0,1020.0,2000.0,30.0,*121*639#,all-one-minute-pack,0,0.63,0.32,639.0
Grameenphone,GP-OFF-015,1165mins + 1TK/MIN + 2000SMS,Combo,0.0,1165.0,2000.0,30.0,*121*729#,all-one-minute-pack,0,0.63,0.36,729.0
Grameenphone,GP-OFF-016,50 SMS 14TK (3 Day’s Validity Pack),SMS,0.0,0.0,50.0,3.0,*121*14#,sms-packs,0,0,0.28,14.0
Grameenphone,GP-OFF-017,110 SMS 26 TK (3 Day’s Validity Pack),SMS,0.0,0.0,110.0,3.0,*121*026#,sms-packs,0,0,0.24,26.0
Grameenphone,GP-OFF-018,210 SMS 47 TK (3 Day’s Validity Pack),SMS,0.0,0.0,210.0,3.0,*121*46#,sms-packs,0,0,0.22,47.0
Grameenphone,GP-OFF-019,100 SMS 28 TK (7 Day’s Validity Pack),SMS,0.0,0.0,100.0,7.0,*121*28#,sms-packs,0,0,0.28,28.0
Grameenphone,GP-OFF-020,210 SMS 49 TK (7 Day’s Validity Pack),SMS,0.0,0.0,210.0,7.0,*121*049#,sms-packs,0,0,0.23,49.0
Grameenphone,GP-OFF-021,110 SMS 37 TK (Monthly SMS Pack),SMS,0.0,0.0,110.0,30.0,*121*36#,sms-packs,0,0,0.34,37.0
Grameenphone,GP-OFF-022,215 SMS 66 TK (Monthly SMS Pack),SMS,0.0,0.0,215.0,30.0,*121*66#,sms-packs,0,0,0.31,66.0
Grameenphone,GP-OFF-023,350 SMS 86 TK (Monthly SMS Pack),SMS,0.0,0.0,350.0,30.0,*121*86#,sms-packs,0,0,0.25,86.0
Grameenphone,GP-OFF-024,500 SMS 93 TK (Monthly SMS Pack),SMS,0.0,0.0,500.0,30.0,*121*96#,sms-packs,0,0,0.19,93.0
Grameenphone,GP-OFF-025,52 SMS 18 TK (Priyotoma Pack),SMS,0.0,0.0,52.0,0.0,*121*18#,sms-packs,0,0,0.35,18.0
Grameenphone,GP-OFF-038,Play Pack Super + 500 SMS,Entertainment,0.0,0.0,500.0,30.0,Unknown,play-packs,0,0,0.35,173.0
Grameenphone,GP-OFF-039,Play Pack Sports + 335 SMS,Entertainment,0.0,0.0,335.0,30.0,Unknown,play-packs,0,0,0.33,111.0
Grameenphone,GP-OFF-040,3 Years Account Validity + 600 Minutes,Validity,0.0,600.0,0.0,30.0,Unknown,account-validity-extender,0,1.66,0,997.0
Grameenphone,GP-OFF-041,5 Years Account Validity + 900 Minutes,Validity,0.0,900.0,0.0,30.0,Unknown,account-validity-extender,0,1.66,0,1498.0
Grameenphone,GP-OFF-042,Main account validity extension (3 years),Validity,0.0,0.0,0.0,1095.0,Unknown,validity-pack,0,0,0,695.0
Grameenphone,GP-OFF-043,Main account validity extension (5 years),Validity,0.0,0.0,0.0,1825.0,Unknown,validity-pack,0,0,0,995.0
Grameenphone,GP-OFF-044,Shukhee 130 sms,SMS,0.0,0.0,130.0,5.0,Unknown,shukhee-packs-offer,0,0,0.33,43.0
Grameenphone,GP-OFF-045,Shukhee 330 sms,SMS,0.0,0.0,330.0,7.0,Unknown,shukhee-packs-offer,0,0,0.34,112.0
Grameenphone,GP-OFF-046,Shukhee 420 sms,SMS,0.0,0.0,420.0,15.0,Unknown,shukhee-packs-offer,0,0,0.34,143.0
Grameenphone,GP-OFF-047,Shukhee 120 minutes,Minute,0.0,120.0,0.0,30.0,Unknown,shukhee-packs-offer,0,1.48,0,177.0
Grameenphone,GP-OFF-048,Number One call rate recharge 34 TK,Call Rate,0.0,0.0,0.0,2.0,Unknown,number-one-call-rate-offer,0,0.6,0,34.0
Grameenphone,GP-OFF-049,Number One call rate recharge 64 TK,Call Rate,0.0,0.0,0.0,3.0,Unknown,number-one-call-rate-offer,0,0.6,0,64.0
Grameenphone,GP-OFF-050,Number One call rate recharge 94 TK,Call Rate,0.0,0.0,0.0,7.0,Unknown,number-one-call-rate-offer,0,0.6,0,94.0
Grameenphone,GP-OFF-051,Number One call rate recharge 208 TK,Call Rate,0.0,0.0,0.0,30.0,Unknown,number-one-call-rate-offer,0,0.6,0,208.0
Grameenphone,GP-OFF-052,Number One call rate recharge 309 TK,Call Rate,0.0,0.0,0.0,60.0,Unknown,number-one-call-rate-offer,0,0.6,0,309.0
Grameenphone,GP-OFF-053,Number One call rate recharge 509 TK,Call Rate,0.0,0.0,0.0,90.0,Unknown,number-one-call-rate-offer,0,0.6,0,509.0
Grameenphone,GP-OFF-054,Number One call rate recharge 989 TK,Call Rate,0.0,0.0,0.0,365.0,Unknown,number-one-call-rate-offer,0,0.6,0,989.0
Banglalink,TK119DATAUSSD72HRR,Banglalink Prepaid 6 gb at only Tk. 119 recharge!,Data,6.0,0.0,0.0,3.0,*121*119#,offers/prepaid/internet,19.83,0,0,119.0
Banglalink,TK348USSD260510R,Banglalink Prepaid 6GB Tk. 348!,Data,6.0,0.0,0.0,30.0,*121*348#,offers/prepaid/internet,58.0,0,0,348.0
Banglalink,TK98USSDBLD260028A,Banglalink Prepaid 5GB Tk. 98!,Data,5.0,0.0,0.0,1.0,*121*98#,offers/prepaid/internet,19.6,0,0,98.0
Banglalink,TK398USSD260010R,Banglalink Prepaid 10GB Tk. 398!,Data,10.0,0.0,0.0,30.0,*121*398#,offers/prepaid/internet,39.8,0,0,398.0
Banglalink,TK498USSDBLD260023D,Banglalink Prepaid 25GB Tk. 498!,Data,25.0,0.0,0.0,30.0,*121*498#,offers/prepaid/internet,19.92,0,0,498.0
Banglalink,TK598DATAUSSD30D,Banglalink Prepaid 35GB Tk. 598!,Data,35.0,0.0,0.0,30.0,*121*598#,offers/prepaid/internet,17.09,0,0,598.0
Banglalink,TK698DATAUSSD,Banglalink Prepaid 75GB Tk. 698!,Data,75.0,0.0,0.0,30.0,*121*698#,offers/prepaid/internet,9.31,0,0,698.0
Banglalink,TK798DATAUSSD,Banglalink Prepaid 100GB Tk. 798!,Data,100.0,0.0,0.0,30.0,*121*798#,offers/prepaid/internet,7.98,0,0,798.0
Banglalink,TK898USSDBLD260066R,Banglalink Prepaid 120GB Tk. 898!,Data,120.0,0.0,0.0,30.0,*121*898#,offers/prepaid/internet,7.48,0,0,898.0
Banglalink,TK158USSDBLD260019R,Banglalink Prepaid 4GB Tk. 158!,Data,4.0,0.0,0.0,7.0,*121*158#,offers/prepaid/internet,39.5,0,0,158.0
Banglalink,TK999USSDBLD250066B,Banglalink Prepaid 150GB Tk. 999!,Data,150.0,0.0,0.0,30.0,*121*999#,offers/prepaid/internet,6.66,0,0,999.0
Banglalink,TK149USSDBLD260028A,Banglalink Prepaid 25 GB Tk. 149!,Data,25.0,0.0,0.0,3.0,*121*149#,offers/prepaid/internet,5.96,0,0,149.0
Banglalink,TK99USSDBLD240028A,Banglalink 3GB only Tk. 99!,Data,3.0,0.0,0.0,3.0,*121*99#,offers/prepaid/internet,33.0,0,0,99.0
Banglalink,TK229USSDBLD260004R,Banglalink Prepaid 30GB Tk. 229!,Data,30.0,0.0,0.0,7.0,*121*229#,offers/prepaid/internet,7.63,0,0,229.0
Banglalink,TK249DATAUSSD7D,Banglalink Prepaid 50GB Tk. 249!,Data,50.0,0.0,0.0,7.0,*121*249#,offers/prepaid/internet,4.98,0,0,249.0
Banglalink,TK988DATAUSSD90D,Banglalink 50 GB only Tk. 988!,Data,50.0,0.0,0.0,90.0,*121*988#,offers/prepaid/internet,19.76,0,0,988.0
Banglalink,TK1494DATAUSSD30D,Banglalink Prepaid 78GB only Tk. 1494!,Data,78.0,0.0,0.0,90.0,*121*1494#,offers/prepaid/internet,19.15,0,0,1494.0
Banglalink,TK1794DATAUSSD30D,Banglalink Prepaid 117GB only Tk. 1794!,Data,117.0,0.0,0.0,90.0,*121*1794#,offers/prepaid/internet,15.33,0,0,1794.0
Banglalink,TK2094DATAUSSD30D,Banglalink Prepaid 234GB only Tk. 2094!,Data,234.0,0.0,0.0,90.0,*121*2094#,offers/prepaid/internet,8.95,0,0,2094.0
Banglalink,TK1988DATAUSSD365D,Banglalink 100 GB only Tk. 1988!,Data,100.0,0.0,0.0,365.0,*121*988#,offers/prepaid/internet,19.88,0,0,1988.0
Banglalink,TK2498USSDBLU230002X,Banglalink 50 GB only Tk. 2498!,Data,50.0,0.0,0.0,3650.0,*121*2498#,offers/prepaid/internet,49.96,0,0,2498.0
Banglalink,TK129DATAUSSD72HR,Banglalink Prepaid 15GB Tk. 129!,Data,15.0,0.0,0.0,3.0,*121*129#,offers/prepaid/internet,8.6,0,0,129.0
Banglalink,TK179USSDBLD250019R,Banglalink 8 GB only Tk.179!,Data,8.0,0.0,0.0,7.0,*121*179#,offers/prepaid/internet,22.38,0,0,179.0
Banglalink,TK199USSDBLD220072B,Banglalink 15 GB only Tk. 199!,Data,15.0,0.0,0.0,7.0,*121*199#,offers/prepaid/internet,13.27,0,0,199.0
Banglalink,TK36USSD3DGCAL,Banglalink 3GB (2.5GB Toffee included) only Tk. 66!,Data,3.0,0.0,0.0,3.0,*121*66#,offers/prepaid/internet,22.0,0,0,66.0
Banglalink,TK100USSD30DGCAL,Banglalink 4GB: imo + BiP + Telegram only Tk. 100!,Data,4.0,0.0,0.0,30.0,*121*1016#,offers/prepaid/internet,25.0,0,0,100.0
Banglalink,TK60USSD7DGCAL,Banglalink 2GB: imo + BiP + Telegram only Tk. 60!,Data,2.0,0.0,0.0,7.0,*121*1044#,offers/prepaid/internet,30.0,0,0,60.0
Banglalink,TK20USSD3DGSOC,Banglalink 2GB: Facebook + WhatsApp + Instagram + Snapchat + BiP only Tk. 50!,Data,2.0,0.0,0.0,3.0,*121*1057#,offers/prepaid/internet,25.0,0,0,50.0
Banglalink,TK60USSD3DGVID,Banglalink 3GB: YouTube + TikTok only Tk. 60!,Data,30.0,0.0,0.0,3.0,*121*1072#,offers/prepaid/internet,2.0,0,0,60.0
Banglalink,TK49USSD50MIN72H,Minute Pack @Tk.49,Minute,0.0,70.0,0.0,3.0,*121*49#,offers/prepaid/voice,0,0.7,0,49.0
Banglalink,TK319USSD450MIN30D,Minute Pack @Tk.319!,Minute,0.0,450.0,0.0,30.0,*121*319#,offers/prepaid/voice,0,0.71,0,319.0
Banglalink,TK269USSD300MIN30D,Minute Pack @Tk.269,Minute,0.0,330.0,0.0,30.0,*121*269#,offers/prepaid/voice,0,0.82,0,269.0
Banglalink,TK29USSD46MIN24H,Minute Pack @Tk.29,Minute,0.0,45.0,0.0,2.0,*121*29#,offers/prepaid/voice,0,0.64,0,29.0
Banglalink,TK137USSD200MIN7D,Minute Pack @Tk.137,Minute,0.0,200.0,0.0,7.0,*121*137#,offers/prepaid/voice,0,0.69,0,137.0
Banglalink,TK227USSD250MIN30D,Minute Pack @ Tk. 227,Minute,0.0,250.0,0.0,30.0,*121*227#,offers/prepaid/voice,0,0.91,0,227.0
Banglalink,TK77USSD120MIN72H,Minute Pack @Tk.77,Minute,0.0,120.0,0.0,3.0,*121*77#,offers/prepaid/voice,0,0.64,0,77.0
Banglalink,TK39USSD60MIN24H,Minute Pack @Tk.39,Minute,0.0,50.0,0.0,1.0,*121*39#,offers/prepaid/voice,0,0.78,0,39.0
Banglalink,TK357USSD500MIN30D,Minute Pack @Tk.357,Minute,0.0,500.0,0.0,30.0,*121*357#,offers/prepaid/voice,0,0.71,0,357.0
Banglalink,TK109USSD150MIN5D,Minute Pack @Tk.109,Minute,0.0,150.0,0.0,5.0,Unknown,offers/prepaid/voice,0,0.73,0,109.0
Banglalink,TK67USSD100MIN72HRS,Minute Pack @Tk.67,Minute,0.0,100.0,0.0,2.0,*121*67#,offers/prepaid/voice,0,0.67,0,67.0
Banglalink,TK157USSD240MIN7D,Minute Pack @Tk. 157,Minute,0.0,240.0,0.0,7.0,Unknown,offers/prepaid/voice,0,0.65,0,157.0
Banglalink,TK127USSD200MIN7D,Minute Pack @ Tk. 127,Minute,0.0,180.0,0.0,5.0,*121*127#,offers/prepaid/voice,0,0.71,0,127.0
Banglalink,TK97USSD110MIN5D,Minute Pack @Tk.97,Minute,0.0,120.0,0.0,5.0,*121*97#,offers/prepaid/voice,0,0.81,0,97.0
Banglalink,TK57USSD80MIN48HRS,Minute Pack @Tk.57,Minute,0.0,80.0,0.0,2.0,*121*57#,offers/prepaid/voice,0,0.71,0,57.0
Banglalink,TK447USSD700MIN30D,Minute Pack @Tk.447,Minute,0.0,700.0,0.0,30.0,*121*447#,offers/prepaid/voice,0,0.64,0,447.0
Banglalink,TK507USSD840MIN30D,Minute Pack @Tk.639,Minute,0.0,1000.0,0.0,30.0,*121*639#,offers/prepaid/voice,0,0.64,0,639.0
Banglalink,TK419USSD650MIN30D,Minute Pack @Tk.419,Minute,0.0,620.0,0.0,30.0,*121*419#,offers/prepaid/voice,0,0.68,0,419.0
Banglalink,TK327USSD450MIN30D,Minute Pack @Tk.327,Minute,0.0,400.0,0.0,30.0,*121*327#,offers/prepaid/voice,0,0.82,0,327.0
Banglalink,TK729USSD1165MIN30D,Minute Pack @Tk. 729,Minute,0.0,1165.0,0.0,30.0,*121*729#,offers/prepaid/voice,0,0.63,0,729.0
Banglalink,TK1197USSD1200MIN365D,Minute Pack @Tk.1197,Minute,0.0,1200.0,0.0,365.0,*121*1197#,offers/prepaid/voice,0,1.0,0,1197.0
Banglalink,TK493USSDMA2Y,Main Account Validity,Validity,0.0,0.0,0.0,730.0,*121*493#,offers/prepaid/voice,0,0,0,493.0
Banglalink,TK693USSDMA3Y,Main Account Validity,Validity,0.0,0.0,0.0,1095.0,*121*693#,offers/prepaid/voice,0,0,0,693.0
Banglalink,TK649USSDBLC260015R,Banglalink Prepaid 30GB+400Min Tk. 649!,Combo,30.0,400.0,0.0,30.0,*121*649#,offers/prepaid/bundles,21.63,1.62,0,649.0
Banglalink,TK749USSDBLC,Banglalink Prepaid 40GB+800Min (20 GB Extra On Repurchase) only Tk. 749!,Combo,40.0,800.0,0.0,30.0,*121*749#,offers/prepaid/bundles,18.73,0.94,0,749.0
Banglalink,TK549USSDBLC,Banglalink Prepaid 15GB + 400Min Tk. 549!,Combo,15.0,400.0,0.0,30.0,*121*549#,offers/prepaid/bundles,36.6,1.37,0,549.0
Banglalink,TK998USSDBLC230015D,Banglalink Prepaid 50 GB+1500 Min only Tk. 998!,Combo,50.0,1500.0,0.0,30.0,*121*998#,offers/prepaid/bundles,19.96,0.67,0,998.0
Banglalink,TK399MXBUSSD,Banglalink Prepaid 5GB+150Min only Tk. 399!,Combo,5.0,150.0,0.0,30.0,*121*399#,offers/prepaid/bundles,79.8,2.66,0,399.0
Banglalink,TK499USSDBLC250002D,Banglalink Prepaid 10GB + 200min Tk. 499!,Combo,10.0,200.0,0.0,30.0,*121*499#,offers/prepaid/bundles,49.9,2.5,0,499.0
Banglalink,TK1199USSDMXB30D,Banglalink Prepaid 150GB+1800M Tk. 1199!,Combo,150.0,1800.0,0.0,30.0,*121*1199#,offers/prepaid/bundles,7.99,0.67,0,1199.0
Banglalink,TK1497USSDBLC250002D,Banglalink Prepaid 59GB+600Min only Tk. 1497!,Combo,59.0,600.0,0.0,90.0,*121*1497#,offers/prepaid/bundles,25.37,2.5,0,1497.0
Banglalink,TK1797USSDBLC250002D,Banglalink Prepaid 78GB+900Min only Tk. 1797!,Combo,78.0,900.0,0.0,90.0,*121*1797#,offers/prepaid/bundles,23.04,2.0,0,1797.0
Banglalink,TK2097USSDBLC250002D,Banglalink Prepaid 98GB+1500Min only Tk. 2097!,Combo,98.0,1500.0,0.0,90.0,*121*2097#,offers/prepaid/bundles,21.4,1.4,0,2097.0
Banglalink,TK2997USSDMXB30D,Banglalink 60 GB+ 1200 minute only Tk.2997!,Combo,60.0,1200.0,0.0,365.0,*121*2997#,offers/prepaid/bundles,49.95,2.5,0,2997.0
Banglalink,TK86USSD30DSMSSUB,"Banglalink Prepaid Hoichoi, Bongo Subscription + 130 SMS at only Tk. 96!",Combo,0.0,0.0,130.0,30.0,*121*1086#,offers/prepaid/bundles,0,0,0.74,96.0
Banglalink,TK66USSD30DSMSSUB,"Banglalink Prepaid DeeptoPlay, iScreen Subscription + 100 SMS at only Tk. 66!",Combo,0.0,0.0,100.0,30.0,*121*1040#,offers/prepaid/bundles,0,0,0.66,66.0
Banglalink,TK33USSD7DSMSSUB,"Banglalink Prepaid DeeptoPlay, iScreen Subscription + 50 SMS at only Tk. 33!",Combo,0.0,0.0,50.0,7.0,*121*1033#,offers/prepaid/bundles,0,0,0.66,33.0
Banglalink,TK156USSD30DSMSSUB,"Banglalink Prepaid Hoichoi, Bongo, DeeptoPlay, iScreen Subscription + 150 SMS at only Tk. 156!",Combo,0.0,0.0,150.0,30.0,*121*1156#,offers/prepaid/bundles,0,0,1.04,156.0
Banglalink,TK60SMSBUNDLE3,Banglalink 500 SMS Bundle only at Tk. 160!,Combo,0.0,0.0,500.0,30.0,*121*2*8#,offers/prepaid/bundles,0,0,0.32,160.0
Banglalink,TK20SMSBUNDLE1,Banglalink 120 SMS Bundle only at Tk. 45!,Combo,0.0,0.0,120.0,7.0,*121*2*8#,offers/prepaid/bundles,0,0,0.38,45.0
Banglalink,TK10SMSBUNDLE,Banglalink 60 SMS Bundle only at Tk. 30!,Combo,0.0,0.0,60.0,3.0,*121*2*8#,offers/prepaid/bundles,0,0,0.5,30.0
Banglalink,TK48PP89P3DREG10SEC,89 paisa/minute with Tk. 48recharge,Call Rate,0.0,0.0,0.0,3.0,Unknown,offers/prepaid/call-rate,0,0.89,0,48.0
Banglalink,TK188PP1P30D1SEC,1 paisa/sec with Tk. 188 recharge,Call Rate,0.0,0.0,0.0,30.0,Unknown,offers/prepaid/call-rate,0,0.6,0,188.0
Banglalink,TK309PP1P90D1SEC,1 paisa/sec with Tk. 309 recharge,Call Rate,0.0,0.0,0.0,60.0,Unknown,offers/prepaid/call-rate,0,0.6,0,309.0
Banglalink,TK159PP89P30D10SEC,89 paisa/Min with Tk. 159 recharge,Call Rate,0.0,0.0,0.0,30.0,Unknown,offers/prepaid/call-rate,0,0.89,0,159.0
Banglalink,NEWSIMOFFER2,Banglalink New Prepaid SIM offer,New SIM,4.0,40.0,0.0,30.0,Unknown,offers/prepaid/new-sim-offer,42.5,4.25,0,170.0
Banglalink,NEWSIMOFFER1,Banglalink New Prepaid SIM offer,New SIM,40.0,300.0,0.0,30.0,Unknown,offers/prepaid/new-sim-offer,10.0,1.33,0,400.0
